"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","CNODE3",,,,"User:","attodev"
"Cmdline:","dstat -tcmndrylpg --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Mar 2017 19:12:13 KST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",
07-03 19:17:31,0.417,0.083,99.500,0.0,0.0,0.0,1726787584.0,184832000.0,2642333696.0,62971695104.0,590.0,0.0,0.0,0.0,0.0,0.0,370.0,1079.0,0.760,0.670,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:32,0.334,0.167,99.499,0.0,0.0,0.0,1726853120.0,184832000.0,2642333696.0,62971629568.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,794.0,0.760,0.670,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:33,0.334,0.167,99.500,0.0,0.0,0.0,1726853120.0,184832000.0,2642333696.0,62971629568.0,1770.0,0.0,0.0,0.0,0.0,0.0,347.0,755.0,0.760,0.670,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:34,0.501,0.0,99.416,0.083,0.0,0.0,1726853120.0,184832000.0,2642333696.0,62971629568.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,773.0,0.760,0.670,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:35,0.500,0.167,99.333,0.0,0.0,0.0,1726861312.0,184840192.0,2642333696.0,62971613184.0,650.0,0.0,0.0,2572288.0,0.0,145.0,515.0,826.0,0.700,0.660,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:36,0.417,0.167,99.416,0.0,0.0,0.0,1726861312.0,184840192.0,2642333696.0,62971613184.0,2950.0,0.0,0.0,0.0,0.0,0.0,353.0,1078.0,0.700,0.660,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:37,0.501,0.0,99.499,0.0,0.0,0.0,1726861312.0,184840192.0,2642333696.0,62971613184.0,342.0,0.0,0.0,0.0,0.0,0.0,354.0,1259.0,0.700,0.660,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:38,0.417,0.0,99.500,0.083,0.0,0.0,1726861312.0,184840192.0,2642333696.0,62971613184.0,590.0,0.0,0.0,0.0,0.0,0.0,338.0,744.0,0.700,0.660,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:39,0.417,0.167,99.416,0.0,0.0,0.0,1726861312.0,184840192.0,2642333696.0,62971613184.0,2950.0,0.0,0.0,0.0,0.0,0.0,377.0,966.0,0.700,0.660,0.470,0.0,0.0,2.0,0.0,0.0
07-03 19:17:40,0.417,0.083,99.499,0.0,0.0,0.0,1726681088.0,184844288.0,2642333696.0,62971789312.0,590.0,0.0,0.0,311296.0,0.0,6.0,357.0,821.0,0.640,0.650,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:41,0.417,0.083,99.500,0.0,0.0,0.0,1726676992.0,184844288.0,2642337792.0,62971789312.0,992.0,0.0,0.0,0.0,0.0,0.0,356.0,1001.0,0.640,0.650,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:42,0.334,0.167,99.498,0.0,0.0,0.0,1726820352.0,184844288.0,2642337792.0,62971645952.0,1770.0,0.0,0.0,0.0,0.0,0.0,346.0,833.0,0.640,0.650,0.470,1.0,0.0,0.0,0.0,0.0
07-03 19:17:43,0.417,0.167,99.416,0.0,0.0,0.0,1726820352.0,184844288.0,2642337792.0,62971645952.0,1180.0,0.0,0.0,0.0,0.0,0.0,364.0,1000.0,0.640,0.650,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:44,0.417,0.167,99.416,0.0,0.0,0.0,1726816256.0,184844288.0,2642341888.0,62971645952.0,932.0,0.0,0.0,0.0,0.0,0.0,345.0,1409.0,0.640,0.650,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:45,0.500,0.0,99.500,0.0,0.0,0.0,1726808064.0,184852480.0,2642341888.0,62971645952.0,650.0,0.0,0.0,266240.0,0.0,8.0,370.0,814.0,0.590,0.640,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:46,0.250,0.250,99.499,0.0,0.0,0.0,1726808064.0,184852480.0,2642341888.0,62971645952.0,1180.0,0.0,0.0,0.0,0.0,0.0,340.0,736.0,0.590,0.640,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:47,0.334,0.167,99.499,0.0,0.0,0.0,1726808064.0,184852480.0,2642341888.0,62971645952.0,590.0,0.0,0.0,0.0,0.0,0.0,359.0,816.0,0.590,0.640,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:48,0.334,0.083,99.583,0.0,0.0,0.0,1726808064.0,184852480.0,2642341888.0,62971645952.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,719.0,0.590,0.640,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:49,0.501,0.167,99.332,0.0,0.0,0.0,1726808064.0,184852480.0,2642341888.0,62971645952.0,1180.0,0.0,0.0,0.0,0.0,0.0,375.0,1175.0,0.590,0.640,0.460,0.0,0.0,2.0,0.0,0.0
07-03 19:17:50,0.417,0.083,99.416,0.083,0.0,0.0,1726550016.0,184856576.0,2642341888.0,62971899904.0,60.0,0.0,0.0,339968.0,0.0,11.0,363.0,1070.0,0.540,0.630,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:51,0.251,0.167,99.582,0.0,0.0,0.0,1726550016.0,184856576.0,2642341888.0,62971899904.0,590.0,0.0,0.0,0.0,0.0,0.0,365.0,779.0,0.540,0.630,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:52,0.500,0.083,99.416,0.0,0.0,0.0,1727836160.0,184856576.0,2642341888.0,62970613760.0,1180.0,0.0,0.0,0.0,0.0,0.0,348.0,825.0,0.540,0.630,0.460,1.0,0.0,0.0,0.0,0.0
07-03 19:17:53,0.334,0.167,99.499,0.0,0.0,0.0,1727836160.0,184856576.0,2642341888.0,62970613760.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,727.0,0.540,0.630,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:54,0.417,0.083,99.499,0.0,0.0,0.0,1727836160.0,184856576.0,2642341888.0,62970613760.0,590.0,0.0,0.0,0.0,0.0,0.0,344.0,781.0,0.540,0.630,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:55,0.500,0.167,99.250,0.083,0.0,0.0,1727836160.0,184856576.0,2642341888.0,62970613760.0,650.0,0.0,0.0,15638528.0,0.0,188.0,559.0,840.0,0.500,0.620,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:56,0.334,0.167,99.499,0.0,0.0,0.0,1727836160.0,184856576.0,2642341888.0,62970613760.0,590.0,0.0,0.0,0.0,0.0,0.0,343.0,728.0,0.500,0.620,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:57,0.334,0.084,99.582,0.0,0.0,0.0,1727692800.0,184856576.0,2642341888.0,62970757120.0,590.0,0.0,0.0,0.0,0.0,0.0,349.0,1027.0,0.500,0.620,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:17:58,0.417,0.167,99.416,0.0,0.0,0.0,1727692800.0,184856576.0,2642341888.0,62970757120.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,731.0,0.500,0.620,0.460,1.0,0.0,0.0,0.0,0.0
07-03 19:17:59,0.417,0.167,99.416,0.0,0.0,0.0,1727692800.0,184856576.0,2642341888.0,62970757120.0,1180.0,0.0,0.0,0.0,0.0,0.0,372.0,958.0,0.500,0.620,0.460,0.0,0.0,2.0,0.0,0.0
07-03 19:18:00,0.417,0.083,99.416,0.083,0.0,0.0,1727561728.0,184860672.0,2642341888.0,62970884096.0,60.0,0.0,0.0,135168.0,0.0,7.0,365.0,817.0,0.460,0.610,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:18:01,0.334,0.167,99.500,0.0,0.0,0.0,1727557632.0,184860672.0,2642345984.0,62970884096.0,590.0,0.0,0.0,0.0,0.0,0.0,358.0,740.0,0.460,0.610,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:18:02,0.418,0.084,99.498,0.0,0.0,0.0,1727496192.0,184860672.0,2642345984.0,62970945536.0,1770.0,0.0,0.0,0.0,0.0,0.0,344.0,849.0,0.460,0.610,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:18:03,0.417,0.167,99.417,0.0,0.0,0.0,1727496192.0,184860672.0,2642345984.0,62970945536.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,748.0,0.460,0.610,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:18:04,0.500,0.167,99.250,0.083,0.0,0.0,1727496192.0,184860672.0,2642345984.0,62970945536.0,590.0,0.0,0.0,0.0,0.0,0.0,346.0,829.0,0.460,0.610,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:18:05,0.334,0.084,99.582,0.0,0.0,0.0,1727492096.0,184864768.0,2642345984.0,62970945536.0,3010.0,0.0,0.0,53248.0,0.0,4.0,371.0,825.0,0.420,0.600,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:06,0.334,0.083,99.583,0.0,0.0,0.0,1727492096.0,184864768.0,2642345984.0,62970945536.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,745.0,0.420,0.600,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:07,0.334,0.250,99.416,0.0,0.0,0.0,1727488000.0,184864768.0,2642350080.0,62970945536.0,1052.0,0.0,0.0,0.0,0.0,0.0,369.0,847.0,0.420,0.600,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:08,0.417,0.083,99.499,0.0,0.0,0.0,1727488000.0,184864768.0,2642350080.0,62970945536.0,1770.0,0.0,0.0,0.0,0.0,0.0,347.0,763.0,0.420,0.600,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:09,0.583,0.167,99.250,0.0,0.0,0.0,1727488000.0,184864768.0,2642350080.0,62970945536.0,1770.0,0.0,0.0,0.0,0.0,0.0,365.0,1140.0,0.420,0.600,0.450,0.0,0.0,2.0,0.0,0.0
07-03 19:18:10,0.334,0.084,99.582,0.0,0.0,0.0,1727234048.0,184864768.0,2642350080.0,62971199488.0,992.0,0.0,0.0,0.0,0.0,0.0,348.0,796.0,0.390,0.590,0.450,1.0,0.0,0.0,0.0,0.0
07-03 19:18:11,0.334,0.167,99.499,0.0,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,1180.0,0.0,0.0,12288.0,0.0,2.0,367.0,787.0,0.390,0.590,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:12,0.417,0.083,99.417,0.083,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,1770.0,0.0,0.0,0.0,0.0,0.0,349.0,808.0,0.390,0.590,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:13,0.500,0.083,99.416,0.0,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,932.0,0.0,0.0,0.0,0.0,0.0,359.0,825.0,0.390,0.590,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:14,0.501,0.083,99.416,0.0,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,775.0,0.390,0.590,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:15,0.417,0.167,99.417,0.0,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,2444.0,462.0,0.0,0.0,0.0,0.0,385.0,840.0,0.360,0.580,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:16,0.417,0.167,99.416,0.0,0.0,0.0,1727225856.0,184868864.0,2642354176.0,62971199488.0,672.0,408.0,0.0,0.0,0.0,0.0,363.0,994.0,0.360,0.580,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:17,0.501,0.167,99.248,0.084,0.0,0.0,1727221760.0,184872960.0,2642354176.0,62971199488.0,1364.0,552.0,0.0,12288.0,0.0,2.0,388.0,974.0,0.360,0.580,0.450,0.0,0.0,8.0,0.0,0.0
07-03 19:18:18,0.583,0.083,99.333,0.0,0.0,0.0,1727762432.0,184872960.0,2642354176.0,62970658816.0,1684.0,314.0,0.0,0.0,0.0,0.0,371.0,916.0,0.360,0.580,0.450,1.0,0.0,8.0,0.0,0.0
07-03 19:18:19,0.501,0.418,99.081,0.0,0.0,0.0,1727016960.0,184872960.0,2642354176.0,62971404288.0,672.0,424.0,0.0,0.0,0.0,0.0,426.0,1618.0,0.360,0.580,0.450,1.0,0.0,18.0,0.0,0.0
07-03 19:18:20,0.334,0.334,99.332,0.0,0.0,0.0,1726967808.0,184872960.0,2642354176.0,62971453440.0,1250.0,1236.0,0.0,0.0,0.0,0.0,405.0,1331.0,0.330,0.570,0.450,1.0,0.0,8.0,0.0,0.0
07-03 19:18:21,0.334,0.167,99.499,0.0,0.0,0.0,1726967808.0,184872960.0,2642354176.0,62971453440.0,1262.0,424.0,0.0,0.0,0.0,0.0,376.0,788.0,0.330,0.570,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:22,0.501,0.167,99.332,0.0,0.0,0.0,1726967808.0,184872960.0,2642354176.0,62971453440.0,1094.0,330.0,0.0,0.0,0.0,0.0,374.0,964.0,0.330,0.570,0.450,1.0,0.0,8.0,0.0,0.0
07-03 19:18:23,0.834,0.167,98.916,0.083,0.0,0.0,1729122304.0,184877056.0,2642370560.0,62969278464.0,1484.0,2462.0,12288.0,16384.0,1.0,2.0,415.0,911.0,0.330,0.570,0.450,0.0,0.0,1.0,0.0,0.0
07-03 19:18:24,0.418,0.084,99.499,0.0,0.0,0.0,1729122304.0,184877056.0,2642370560.0,62969278464.0,766.0,134.0,0.0,0.0,0.0,0.0,358.0,1159.0,0.330,0.570,0.450,0.0,0.0,0.0,0.0,0.0
07-03 19:18:25,0.334,0.250,99.416,0.0,0.0,0.0,1729122304.0,184877056.0,2642370560.0,62969278464.0,818.0,142.0,0.0,122880.0,0.0,24.0,387.0,778.0,0.300,0.560,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:26,0.417,0.0,99.583,0.0,0.0,0.0,1729122304.0,184877056.0,2642370560.0,62969278464.0,1730.0,944.0,0.0,0.0,0.0,0.0,369.0,804.0,0.300,0.560,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:27,0.501,0.0,99.499,0.0,0.0,0.0,1729122304.0,184877056.0,2642370560.0,62969278464.0,636.0,566.0,0.0,0.0,0.0,0.0,382.0,868.0,0.300,0.560,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:28,0.333,0.167,99.417,0.083,0.0,0.0,1729114112.0,184885248.0,2642370560.0,62969278464.0,2062.0,810.0,0.0,49152.0,0.0,2.0,374.0,803.0,0.300,0.560,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:29,0.418,0.167,99.415,0.0,0.0,0.0,1729114112.0,184885248.0,2642370560.0,62969278464.0,168.0,142.0,0.0,0.0,0.0,0.0,363.0,1140.0,0.300,0.560,0.440,0.0,0.0,2.0,0.0,0.0
07-03 19:18:30,0.500,0.167,99.333,0.0,0.0,0.0,1729236992.0,184885248.0,2642374656.0,62969151488.0,1302.0,1926.0,0.0,0.0,0.0,0.0,375.0,832.0,0.280,0.550,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:31,0.334,0.167,99.499,0.0,0.0,0.0,1729232896.0,184885248.0,2642378752.0,62969151488.0,1646.0,852.0,0.0,0.0,0.0,0.0,391.0,815.0,0.280,0.550,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:32,0.417,0.083,99.499,0.0,0.0,0.0,1729232896.0,184885248.0,2642378752.0,62969151488.0,1818.0,570.0,0.0,0.0,0.0,0.0,363.0,821.0,0.280,0.550,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:33,0.418,0.084,99.499,0.0,0.0,0.0,1729232896.0,184885248.0,2642378752.0,62969151488.0,942.0,300.0,0.0,0.0,0.0,0.0,355.0,753.0,0.280,0.550,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:34,0.417,0.167,99.333,0.083,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,176.0,150.0,0.0,16384.0,0.0,2.0,350.0,794.0,0.280,0.550,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:35,0.334,0.167,99.500,0.0,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,3178.0,190.0,0.0,0.0,0.0,0.0,384.0,840.0,0.260,0.540,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:36,0.501,0.083,99.416,0.0,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,1100.0,142.0,0.0,0.0,0.0,0.0,347.0,976.0,0.260,0.540,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:37,0.418,0.084,99.499,0.0,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,168.0,142.0,0.0,0.0,0.0,0.0,355.0,809.0,0.260,0.540,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:38,0.417,0.083,99.416,0.083,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,3876.0,284.0,0.0,0.0,0.0,0.0,359.0,813.0,0.260,0.540,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:39,0.501,0.083,99.416,0.0,0.0,0.0,1729228800.0,184889344.0,2642378752.0,62969151488.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,936.0,0.260,0.540,0.440,0.0,0.0,2.0,0.0,0.0
07-03 19:18:40,0.334,0.167,99.500,0.0,0.0,0.0,1729224704.0,184893440.0,2642378752.0,62969151488.0,932.0,0.0,0.0,24576.0,0.0,4.0,354.0,817.0,0.240,0.530,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:41,0.417,0.083,99.500,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1938.0,118.0,0.0,0.0,0.0,0.0,361.0,778.0,0.240,0.530,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:42,0.417,0.167,99.416,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1348.0,190.0,0.0,0.0,0.0,0.0,350.0,1115.0,0.240,0.530,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:43,0.334,0.167,99.500,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1604.0,504.0,0.0,0.0,0.0,0.0,376.0,802.0,0.240,0.530,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:44,0.417,0.083,99.499,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1094.0,378.0,0.0,0.0,0.0,0.0,357.0,809.0,0.240,0.530,0.440,0.0,0.0,0.0,0.0,0.0
07-03 19:18:45,0.417,0.167,99.416,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1684.0,378.0,0.0,24576.0,0.0,2.0,382.0,843.0,0.220,0.520,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:46,0.501,0.0,99.499,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,758.0,150.0,0.0,0.0,0.0,0.0,349.0,790.0,0.220,0.520,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:47,0.584,0.083,99.333,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1822.0,994.0,0.0,0.0,0.0,0.0,404.0,885.0,0.220,0.520,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:48,0.500,0.167,99.251,0.083,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,2058.0,1136.0,0.0,0.0,0.0,0.0,383.0,814.0,0.220,0.520,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:49,0.584,0.083,99.333,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,910.0,0.220,0.520,0.430,0.0,0.0,2.0,0.0,0.0
07-03 19:18:50,0.584,0.0,99.416,0.0,0.0,0.0,1729220608.0,184893440.0,2642382848.0,62969151488.0,1584.0,332.0,0.0,0.0,0.0,0.0,363.0,1072.0,0.200,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:51,0.334,0.167,99.499,0.0,0.0,0.0,1729216512.0,184897536.0,2642382848.0,62969151488.0,926.0,284.0,0.0,12288.0,0.0,2.0,380.0,1080.0,0.200,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:52,0.334,0.167,99.499,0.0,0.0,0.0,1729216512.0,184897536.0,2642382848.0,62969151488.0,168.0,118.0,0.0,0.0,0.0,0.0,345.0,803.0,0.200,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:53,0.417,0.083,99.499,0.0,0.0,0.0,1729212416.0,184897536.0,2642386944.0,62969151488.0,1246.0,150.0,0.0,0.0,0.0,0.0,355.0,768.0,0.200,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:54,0.417,0.167,99.333,0.083,0.0,0.0,1729212416.0,184897536.0,2642386944.0,62969151488.0,590.0,0.0,0.0,0.0,0.0,0.0,349.0,1116.0,0.200,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:55,0.250,0.167,99.583,0.0,0.0,0.0,1729212416.0,184897536.0,2642386944.0,62969151488.0,60.0,0.0,0.0,4096.0,0.0,1.0,364.0,779.0,0.180,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:56,0.417,0.167,99.416,0.0,0.0,0.0,1729212416.0,184897536.0,2642386944.0,62969151488.0,590.0,0.0,0.0,0.0,0.0,0.0,344.0,983.0,0.180,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:57,0.417,0.083,99.416,0.083,0.0,0.0,1729196032.0,184897536.0,2642403328.0,62969151488.0,590.0,0.0,0.0,61440.0,0.0,5.0,362.0,861.0,0.180,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:58,0.417,0.083,99.500,0.0,0.0,0.0,1729196032.0,184897536.0,2642403328.0,62969151488.0,590.0,0.0,0.0,0.0,0.0,0.0,342.0,744.0,0.180,0.510,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:18:59,0.418,0.084,99.498,0.0,0.0,0.0,1729196032.0,184897536.0,2642403328.0,62969151488.0,590.0,0.0,0.0,0.0,0.0,0.0,368.0,934.0,0.180,0.510,0.430,0.0,0.0,2.0,0.0,0.0
07-03 19:19:00,0.500,0.167,99.334,0.0,0.0,0.0,1728942080.0,184897536.0,2642403328.0,62969405440.0,60.0,0.0,0.0,53248.0,0.0,11.0,361.0,785.0,0.170,0.500,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:19:01,0.500,0.083,99.416,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,1770.0,0.0,0.0,0.0,0.0,0.0,364.0,781.0,0.170,0.500,0.430,1.0,0.0,0.0,0.0,0.0
07-03 19:19:02,0.334,0.084,99.499,0.084,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,590.0,0.0,0.0,0.0,0.0,0.0,344.0,1040.0,0.170,0.500,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:19:03,0.334,0.167,99.500,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,0.0,0.0,0.0,12288.0,0.0,2.0,360.0,755.0,0.170,0.500,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:19:04,0.417,0.167,99.416,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,2950.0,0.0,0.0,0.0,0.0,0.0,363.0,827.0,0.170,0.500,0.430,0.0,0.0,0.0,0.0,0.0
07-03 19:19:05,0.334,0.167,99.500,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,60.0,0.0,0.0,16384.0,0.0,2.0,357.0,758.0,0.150,0.490,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:06,0.251,0.167,99.582,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,590.0,0.0,0.0,0.0,0.0,0.0,336.0,725.0,0.150,0.490,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:07,0.501,0.0,99.499,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,3832.0,42.0,0.0,0.0,0.0,0.0,381.0,907.0,0.150,0.490,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:08,0.334,0.167,99.500,0.0,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,590.0,0.0,0.0,0.0,0.0,0.0,340.0,759.0,0.150,0.490,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:09,0.500,0.167,99.250,0.083,0.0,0.0,1728937984.0,184897536.0,2642407424.0,62969405440.0,932.0,0.0,0.0,24576.0,0.0,2.0,364.0,925.0,0.150,0.490,0.420,0.0,0.0,2.0,0.0,0.0
07-03 19:19:10,0.334,0.0,99.666,0.0,0.0,0.0,1729048576.0,184897536.0,2642407424.0,62969294848.0,1830.0,0.0,0.0,0.0,0.0,0.0,351.0,852.0,0.140,0.480,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:11,0.334,0.083,99.583,0.0,0.0,0.0,1729044480.0,184897536.0,2642411520.0,62969294848.0,1180.0,0.0,0.0,0.0,0.0,0.0,361.0,788.0,0.140,0.480,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:12,0.334,0.084,99.582,0.0,0.0,0.0,1729044480.0,184897536.0,2642411520.0,62969294848.0,932.0,0.0,0.0,0.0,0.0,0.0,341.0,841.0,0.140,0.480,0.420,1.0,0.0,0.0,0.0,0.0
07-03 19:19:13,0.417,0.083,99.499,0.0,0.0,0.0,1729044480.0,184897536.0,2642411520.0,62969294848.0,590.0,0.0,0.0,0.0,0.0,0.0,355.0,772.0,0.140,0.480,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:14,0.417,0.167,99.333,0.083,0.0,0.0,1729044480.0,184897536.0,2642411520.0,62969294848.0,1180.0,0.0,0.0,0.0,0.0,0.0,340.0,803.0,0.140,0.480,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:15,0.500,0.083,99.416,0.0,0.0,0.0,1729040384.0,184901632.0,2642411520.0,62969294848.0,650.0,0.0,0.0,20480.0,0.0,3.0,382.0,846.0,0.130,0.470,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:16,0.334,0.167,99.499,0.0,0.0,0.0,1729036288.0,184901632.0,2642415616.0,62969294848.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,1020.0,0.130,0.470,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:17,0.501,0.0,99.499,0.0,0.0,0.0,1729036288.0,184901632.0,2642415616.0,62969294848.0,1180.0,0.0,0.0,0.0,0.0,0.0,357.0,815.0,0.130,0.470,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:18,0.334,0.167,99.500,0.0,0.0,0.0,1729036288.0,184901632.0,2642415616.0,62969294848.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,733.0,0.130,0.470,0.420,0.0,0.0,0.0,0.0,0.0
07-03 19:19:19,0.501,0.084,99.415,0.0,0.0,0.0,1729036288.0,184901632.0,2642415616.0,62969294848.0,1196.0,526.0,0.0,0.0,0.0,0.0,384.0,962.0,0.130,0.470,0.420,1.0,0.0,2.0,0.0,0.0
